file,clase,hu1_log,hu2_log,ar2,cluster
Ar1.png,Arandela,-0.997,-0.221,0.912,1
Ar10.png,Arandela,-0.751,-0.516,0.993,0
Ar11.png,Arandela,-0.78,-0.512,0.994,0
Ar12.png,Arandela,-0.776,-0.455,0.978,0
Ar13.png,Arandela,-0.792,-0.4,0.969,0
Ar14.png,Arandela,-0.765,-0.37,0.962,0
Ar15.png,Arandela,-0.843,-0.384,0.97,0
Ar2.png,Arandela,-0.767,-0.265,0.972,0
Ar3.png,Arandela,-0.971,-0.4,0.992,0
Ar4.png,Arandela,-0.774,-0.181,0.992,0
Ar5.png,Arandela,-0.76,-0.536,0.991,0
Ar6.png,Arandela,-0.767,-0.322,0.96,0
Ar7.png,Arandela,-0.741,-0.223,0.911,1
Ar8.png,Arandela,-0.754,-0.217,0.92,1
Ar9.png,Arandela,-0.75,-0.206,0.914,1
Ara1.png,Arandela,-0.769,-0.197,0.897,1
Aran1.png,Arandela,0.719,-0.542,0.99,0
Arande.png,Arandela,-0.812,-0.374,0.987,0
Arandela_1.png,Arandela,-0.757,-0.368,0.988,0
Arandela_10.png,Arandela,-0.756,-0.223,0.925,1
Arandela_11.png,Arandela,-0.746,-0.169,0.919,1
Arandela_12.png,Arandela,-0.759,-0.202,0.931,1
Arandela_13.png,Arandela,-0.782,-0.41,0.974,0
Arandela_14.png,Arandela,-0.767,-0.349,0.961,0
Arandela_2.png,Arandela,-0.786,-0.385,0.963,0
Arandela_3.png,Arandela,-0.787,-0.419,0.976,0
Arandela_5.png,Arandela,-0.745,-0.27,0.966,0
Arandela_6.png,Arandela,-0.812,-0.384,0.989,0
Arandela_9.png,Arandela,-0.777,-0.477,0.98,0
T1.png,Tuerca,-1.074,-0.027,0.911,1
T3.png,Tuerca,-0.917,-0.002,0.895,1
T4.png,Tuerca,-0.803,0.143,0.841,1
T5.png,Tuerca,-0.973,0.055,0.854,1
T6.png,Tuerca,-0.893,0.041,0.881,1
T7.png,Tuerca,-0.924,-0.098,0.955,1
T8.png,Tuerca,-0.813,0.093,0.867,1
T9.png,Tuerca,-0.894,-0.092,0.955,1
Tu1.png,Tuerca,-0.469,0.011,0.862,1
Tu11.png,Tuerca,-0.948,-0.026,0.882,1
Tu12.png,Tuerca,-0.915,-0.072,0.902,1
Tu13.png,Tuerca,-0.926,-0.119,0.942,1
Tu14.png,Tuerca,-0.986,-0.069,0.922,1
Tu15.png,Tuerca,-0.93,-0.059,0.912,1
Tu16.png,Tuerca,-0.893,0.014,0.894,1
Tu18.png,Tuerca,-0.84,-0.017,0.901,1
Tu19.png,Tuerca,-0.835,-0.096,0.923,1
Tu2.png,Tuerca,-1.033,0.029,0.858,1
Tu3.png,Tuerca,-0.776,-0.079,0.947,1
Tu4.png,Tuerca,-0.77,-0.129,0.861,1
Tu5.png,Tuerca,-0.96,-0.056,0.934,1
Tu7.png,Tuerca,-0.869,0.015,0.895,1
Tu8.png,Tuerca,-0.791,0.075,0.878,1
Tuer.png,Tuerca,-0.828,0.019,0.899,1
Tuer1.png,Tuerca,-0.677,0.165,0.857,1
Tuer2.png,Tuerca,-0.755,-0.002,0.898,1
Tuer3.png,Tuerca,-0.827,0.026,0.851,1
Tuer4.png,Tuerca,-0.862,-0.006,0.892,1
Tuerc.png,Tuerca,-1.031,-0.127,0.932,1
Tuerc1.png,Tuerca,-0.916,0.021,0.876,1
Tuerc3.png,Tuerca,-0.835,-0.092,0.945,1
Tuerc4.png,Tuerca,-0.914,-0.092,0.916,1
Tuerc5.png,Tuerca,-0.848,-0.076,0.92,1
Tuerca_1.png,Tuerca,-0.829,0.104,0.853,1
Tuerca_2.png,Tuerca,-0.901,-0.007,0.869,1
Tuerca_3.png,Tuerca,-0.747,0.151,0.843,1
Tuerca_4.png,Tuerca,-0.877,-0.053,0.897,1
Tuerca_5.png,Tuerca,-0.815,0.019,0.867,1
Tuerca_6.png,Tuerca,-0.797,-0.003,0.876,1
Tuerca_7.png,Tuerca,-0.755,0.127,0.835,1
Tuerca_8.png,Tuerca,-0.773,0.063,0.859,1
Tuerca_9.png,Tuerca,-0.759,0.138,0.829,1
To.png,Tornillo,0.491,-0.086,0.535,2
To1.png,Tornillo,1.806,0.419,0.319,2
To10.png,Tornillo,0.598,0.025,0.439,2
To11.png,Tornillo,0.682,0.108,0.402,2
To12.png,Tornillo,0.833,0.333,0.274,2
To13.png,Tornillo,0.642,0.153,0.342,2
To14.png,Tornillo,0.577,0.077,0.366,2
To15.png,Tornillo,0.69,0.217,0.292,2
To16.png,Tornillo,0.68,-0.104,0.634,2
To17.png,Tornillo,0.913,-0.33,0.706,2
To18.png,Tornillo,0.527,-0.318,0.739,2
To19.png,Tornillo,0.641,-0.179,0.695,2
To2.png,Tornillo,0.684,0.091,0.404,2
To20.png,Tornillo,0.739,0.292,0.257,2
To21.png,Tornillo,0.589,-0.427,0.702,2
To22.png,Tornillo,0.619,0.061,0.397,2
To23.png,Tornillo,0.665,0.14,0.338,2
To24.png,Tornillo,0.623,0.053,0.39,2
To25.png,Tornillo,1.21,0.455,0.298,2
To26.png,Tornillo,0.621,-0.056,0.549,2
To27.png,Tornillo,0.622,-0.003,0.371,2
To28.png,Tornillo,0.688,0.031,0.386,2
To3.png,Tornillo,1.198,0.324,0.319,2
To4.png,Tornillo,1.473,0.405,0.352,2
To5.png,Tornillo,1.143,0.349,0.322,2
To6.png,Tornillo,0.595,0.208,0.346,2
To7.png,Tornillo,0.79,0.104,0.357,2
To8.png,Tornillo,0.523,0.158,0.314,2
To9.png,Tornillo,0.777,0.158,0.37,2
Tor.png,Tornillo,0.834,0.162,0.325,2
Tor1.png,Tornillo,0.698,0.149,0.349,2
Tor2.png,Tornillo,0.546,-0.12,0.419,2
Tor3.png,Tornillo,0.841,0.162,0.325,2
Tor5.png,Tornillo,0.651,0.0,0.371,2
Torn.png,Tornillo,0.606,0.031,0.343,2
Tornillo018.png,Tornillo,0.519,-0.21,0.478,2
Tornillo019.png,Tornillo,0.543,-0.154,0.463,2
Tornillo030.png,Tornillo,0.514,0.156,0.412,2
Tornillo031.png,Tornillo,0.54,0.18,0.406,2
Tornillo039.png,Tornillo,0.68,0.031,0.699,2
Tornillo052.png,Tornillo,0.52,0.14,0.49,2
Tornillo_1.png,Tornillo,1.218,0.602,0.234,2
Tornillo_2.png,Tornillo,0.657,-0.092,0.422,2
Tornillo_3.png,Tornillo,0.61,0.042,0.411,2
Tornillo_4.png,Tornillo,0.606,-0.078,0.418,2
Tornillo_5.png,Tornillo,0.727,0.089,0.352,2
Tornillo_6.png,Tornillo,0.627,0.009,0.412,2
Tornillo_7.png,Tornillo,0.61,0.205,0.488,2
Tprueba.png,Tornillo,0.778,0.287,0.305,2
C1.png,Clavo,-0.745,-0.5,0.129,3
C2.png,Clavo,-0.796,-0.559,0.135,3
Cl1.png,Clavo,-0.874,-0.633,0.128,3
Cl10.png,Clavo,-0.944,-0.761,0.133,3
Cl11.png,Clavo,-1.708,-1.594,0.163,3
Cl12.png,Clavo,-0.803,-0.555,0.126,3
Cl13.png,Clavo,-1.029,-0.85,0.141,3
Cl14.png,Clavo,-0.68,-0.421,0.125,3
Cl15.png,Clavo,-0.794,-0.55,0.132,3
Cl16.png,Clavo,-1.829,-1.803,0.165,3
Cl17.png,Clavo,-1.192,-1.101,0.146,3
Cl18.png,Clavo,-0.511,-0.234,0.118,3
Cl2.png,Clavo,-0.794,-0.561,0.133,3
Cl3.png,Clavo,-0.713,-0.456,0.129,3
Cl5.png,Clavo,-0.781,-0.533,0.123,3
Cl6.png,Clavo,-0.901,-0.678,0.135,3
Clavo_1.png,Clavo,-0.781,-0.535,0.128,3
Clavo_10.png,Clavo,-0.862,-0.694,0.148,3
Clavo_11.png,Clavo,-0.732,-0.478,0.13,3
Clavo_12.png,Clavo,-0.443,-0.168,0.118,3
Clavo_13.png,Clavo,-0.448,-0.172,0.125,3
Clavo_14.png,Clavo,-0.902,-0.713,0.155,3
Clavo_2.png,Clavo,-0.757,-0.524,0.127,3
Clavo_3.png,Clavo,-0.732,-0.481,0.124,3
Clavo_5.png,Clavo,-0.583,-0.315,0.127,3
Clavo_6.png,Clavo,-0.954,-0.774,0.149,3
Clavo_7.png,Clavo,-0.866,-0.641,0.139,3
Clavo_8.png,Clavo,-0.865,-0.635,0.137,3
Clavo_9.png,Clavo,-0.912,-0.747,0.144,3
