id,clase,path_rel,s01_zcr_mean,s01_rms_mean,s01_mfcc1_mean,s01_mfcc1_max,s01_mfcc1_std,s01_mfcc2_mean,s01_mfcc2_max,s01_mfcc2_std,s01_mfcc4_mean,s01_mfcc4_max,s01_mfcc4_std,s01_mfcc5_mean,s01_mfcc5_max,s01_mfcc5_std,s02_zcr_mean,s02_rms_mean,s02_mfcc1_mean,s02_mfcc1_max,s02_mfcc1_std,s02_mfcc2_mean,s02_mfcc2_max,s02_mfcc2_std,s02_mfcc4_mean,s02_mfcc4_max,s02_mfcc4_std,s02_mfcc5_mean,s02_mfcc5_max,s02_mfcc5_std,s03_zcr_mean,s03_rms_mean,s03_mfcc1_mean,s03_mfcc1_max,s03_mfcc1_std,s03_mfcc2_mean,s03_mfcc2_max,s03_mfcc2_std,s03_mfcc4_mean,s03_mfcc4_max,s03_mfcc4_std,s03_mfcc5_mean,s03_mfcc5_max,s03_mfcc5_std,s04_zcr_mean,s04_rms_mean,s04_mfcc1_mean,s04_mfcc1_max,s04_mfcc1_std,s04_mfcc2_mean,s04_mfcc2_max,s04_mfcc2_std,s04_mfcc4_mean,s04_mfcc4_max,s04_mfcc4_std,s04_mfcc5_mean,s04_mfcc5_max,s04_mfcc5_std,s05_zcr_mean,s05_rms_mean,s05_mfcc1_mean,s05_mfcc1_max,s05_mfcc1_std,s05_mfcc2_mean,s05_mfcc2_max,s05_mfcc2_std,s05_mfcc4_mean,s05_mfcc4_max,s05_mfcc4_std,s05_mfcc5_mean,s05_mfcc5_max,s05_mfcc5_std,s06_zcr_mean,s06_rms_mean,s06_mfcc1_mean,s06_mfcc1_max,s06_mfcc1_std,s06_mfcc2_mean,s06_mfcc2_max,s06_mfcc2_std,s06_mfcc4_mean,s06_mfcc4_max,s06_mfcc4_std,s06_mfcc5_mean,s06_mfcc5_max,s06_mfcc5_std,s07_zcr_mean,s07_rms_mean,s07_mfcc1_mean,s07_mfcc1_max,s07_mfcc1_std,s07_mfcc2_mean,s07_mfcc2_max,s07_mfcc2_std,s07_mfcc4_mean,s07_mfcc4_max,s07_mfcc4_std,s07_mfcc5_mean,s07_mfcc5_max,s07_mfcc5_std,s08_zcr_mean,s08_rms_mean,s08_mfcc1_mean,s08_mfcc1_max,s08_mfcc1_std,s08_mfcc2_mean,s08_mfcc2_max,s08_mfcc2_std,s08_mfcc4_mean,s08_mfcc4_max,s08_mfcc4_std,s08_mfcc5_mean,s08_mfcc5_max,s08_mfcc5_std,s09_zcr_mean,s09_rms_mean,s09_mfcc1_mean,s09_mfcc1_max,s09_mfcc1_std,s09_mfcc2_mean,s09_mfcc2_max,s09_mfcc2_std,s09_mfcc4_mean,s09_mfcc4_max,s09_mfcc4_std,s09_mfcc5_mean,s09_mfcc5_max,s09_mfcc5_std,s10_zcr_mean,s10_rms_mean,s10_mfcc1_mean,s10_mfcc1_max,s10_mfcc1_std,s10_mfcc2_mean,s10_mfcc2_max,s10_mfcc2_std,s10_mfcc4_mean,s10_mfcc4_max,s10_mfcc4_std,s10_mfcc5_mean,s10_mfcc5_max,s10_mfcc5_std
Cont_An,Contar,Contar/Cont_An.wav,0.09071428571428573,0.025288308039307594,-562.5091552734375,-350.3166809082031,138.58700561523438,137.90826416015625,212.82847595214844,57.88920593261719,-11.61021614074707,12.942996978759766,19.808034896850586,-12.830622673034668,19.025310516357422,15.891134262084961,0.05678571428571429,0.11971725523471832,-396.28009033203125,-295.1071472167969,54.49325180053711,184.72689819335938,210.91372680664062,25.225419998168945,-16.93926429748535,6.284833908081055,14.230152130126953,-43.427146911621094,-10.051745414733887,23.792804718017578,0.02107142857142857,0.08799469470977783,-458.23577880859375,-315.0553894042969,81.74156951904297,151.38011169433594,172.59500122070312,18.971057891845703,36.82463455200195,47.73272705078125,8.149491310119629,6.9556193351745605,18.819122314453125,5.391389846801758,0.024999999999999998,0.052500102669000626,-548.2162475585938,-332.0903015136719,116.93069458007812,157.0011749267578,196.88778686523438,26.886314392089844,41.762107849121094,50.90576934814453,6.878828525543213,22.046579360961914,33.16297149658203,6.961382865905762,0.07821428571428571,0.03554370254278183,-509.40240478515625,-241.02928161621094,173.55722045898438,129.15304565429688,212.6135711669922,45.116607666015625,14.579397201538086,44.024967193603516,17.882648468017578,-0.8180298209190369,22.625141143798828,15.107245445251465,0.14428571428571432,0.16393782198429108,-271.7430114746094,-215.37193298339844,28.31879234313965,152.6182403564453,174.6060791015625,12.83908462524414,-1.172066330909729,8.477412223815918,11.516018867492676,-25.124223709106445,0.8663126230239868,14.927146911621094,0.15714285714285717,0.15006306767463684,-298.5016784667969,-249.50552368164062,30.473609924316406,153.04049682617188,175.07728576660156,12.525300025939941,-1.4831116199493408,15.976754188537598,10.784707069396973,-23.777118682861328,0.3117762804031372,14.33524227142334,0.06357142857142857,0.06855888664722443,-377.8603210449219,-240.80355834960938,68.27035522460938,180.49441528320312,213.61605834960938,26.105337142944336,9.36238956451416,34.90584945678711,20.377103805541992,-3.47761869430542,23.114425659179688,14.769742965698242,0.03571428571428571,0.04496341198682785,-499.8282165527344,-416.7333679199219,56.24408721923828,160.7944793701172,197.51564025878906,24.43422508239746,28.459339141845703,43.446922302246094,10.940406799316406,1.7447434663772583,13.791250228881836,10.0064058303833,0.09999999999999998,0.0016632269835099578,-699.7406005859375,-530.832763671875,101.96015167236328,117.14558410644531,146.96920776367188,21.279146194458008,37.215423583984375,60.242305755615234,18.721376419067383,7.660727500915527,27.657289505004883,11.461044311523438
Cont_An2,Contar,Contar/Cont_An2.wav,0.09843750000000001,0.008962176740169525,-697.0477294921875,-447.3212585449219,181.00894165039062,119.62354278564453,209.63885498046875,62.46585464477539,-5.402529716491699,35.026268005371094,31.104248046875,-20.04368782043457,10.305828094482422,30.6179141998291,0.044687500000000005,0.09167101979255676,-420.87603759765625,-210.30490112304688,95.76619720458984,197.318359375,244.94070434570312,48.334190368652344,-34.736812591552734,-9.350029945373535,13.989823341369629,-46.813941955566406,-13.822652816772461,21.54472541809082,0.035937500000000004,0.10035686194896698,-401.84393310546875,-206.05848693847656,101.66463470458984,175.033935546875,224.34600830078125,41.832603454589844,6.346187591552734,41.031761169433594,25.009830474853516,-7.460367202758789,27.959304809570312,20.95509147644043,0.029687500000000002,0.03938310965895653,-594.562744140625,-387.1629333496094,107.528564453125,158.99884033203125,208.20574951171875,32.39158630371094,33.43962860107422,41.48728561401367,8.017807006835938,20.12813949584961,32.38657760620117,8.709156036376953,0.08218750000000001,0.10690084844827652,-367.20843505859375,-223.68682861328125,151.41908264160156,154.65493774414062,203.23675537109375,43.69521713256836,10.656919479370117,24.65491485595703,9.695711135864258,-29.7491455078125,7.742000579833984,19.830232620239258,0.0875,0.16133049130439758,-275.82611083984375,-228.50131225585938,27.217079162597656,154.84107971191406,183.0474090576172,11.38715934753418,-4.483500003814697,6.916505813598633,13.557777404785156,-31.676822662353516,-3.6366186141967773,13.1533203125,0.09531250000000001,0.11996597051620483,-294.7672119140625,-236.3244171142578,36.243412017822266,146.28500366210938,151.6583251953125,4.498265266418457,-11.117233276367188,3.731203556060791,14.21449089050293,-27.54669189453125,3.3590123653411865,17.96242332458496,0.074375,0.07003593444824219,-367.0893249511719,-244.7200164794922,73.8342056274414,171.44271850585938,211.846435546875,23.81761360168457,-1.523007869720459,17.593585968017578,14.088787078857422,-19.955455780029297,10.634166717529297,18.6550235748291,0.0484375,0.023178506642580032,-504.98455810546875,-394.4276428222656,57.48985290527344,181.1771240234375,218.0744171142578,23.727453231811523,40.77991485595703,71.75909423828125,18.350509643554688,14.4630126953125,53.17223358154297,19.212574005126953,0.0390625,0.008161519654095173,-712.655029296875,-525.562255859375,109.91351318359375,137.09288024902344,175.42388916015625,25.943920135498047,28.576705932617188,73.62406158447266,26.881887435913086,27.783124923706055,49.39331817626953,18.92476463317871
Cont_Chi,Contar,Contar/Cont_Chi.wav,0.08107142857142857,0.008647383190691471,-676.6073608398438,-404.1220397949219,151.16998291015625,106.9654312133789,190.07901000976562,54.69501495361328,-9.51244068145752,5.832903861999512,13.686725616455078,-27.373090744018555,4.604248046875,22.273374557495117,0.05821428571428571,0.105866439640522,-428.5057678222656,-365.9078063964844,33.07310485839844,167.30032348632812,209.65621948242188,21.020214080810547,11.74821949005127,27.996482849121094,9.490907669067383,-72.11422729492188,-20.233489990234375,25.61062240600586,0.04,0.13256363570690155,-439.7745056152344,-369.3099060058594,47.950923919677734,162.40440368652344,208.96881103515625,22.698833465576172,9.624402046203613,27.212112426757812,9.620905876159668,-27.806743621826172,12.658754348754883,25.705026626586914,0.031071428571428573,0.17296180129051208,-469.267333984375,-332.84173583984375,88.23812866210938,135.04385375976562,158.3925018310547,15.380878448486328,18.893497467041016,32.19534683227539,7.2516770362854,2.544869899749756,13.23997688293457,6.950643539428711,0.03142857142857143,0.019467800855636597,-615.2135009765625,-322.45703125,155.6712646484375,122.30018615722656,148.42086791992188,16.98710823059082,18.191471099853516,29.537216186523438,5.853647232055664,-0.3817267417907715,5.656820297241211,5.538190841674805,0.04857142857142858,0.03503333032131195,-566.6851196289062,-295.7891540527344,168.4208526611328,148.32034301757812,229.6038818359375,54.63254165649414,6.484043598175049,15.573829650878906,12.44027328491211,-23.107297897338867,-2.96514892578125,17.401107788085938,0.07607142857142857,0.099552683532238,-326.89276123046875,-282.2630615234375,27.8504638671875,179.74427795410156,186.55752563476562,7.507082462310791,13.040715217590332,22.042118072509766,7.435398101806641,-50.96304702758789,-32.31879806518555,11.708248138427734,0.07642857142857142,0.09286563098430634,-342.1159973144531,-294.6724853515625,28.74485206604004,182.07435607910156,199.18392944335938,10.270720481872559,7.820503234863281,24.596935272216797,14.825243949890137,-50.0420036315918,-26.318429946899414,16.094589233398438,0.05928571428571428,0.05297726392745972,-419.7760314941406,-327.8057556152344,54.047691345214844,210.89151000976562,233.21453857421875,18.76629066467285,9.564047813415527,27.398834228515625,16.925800323486328,-21.949016571044922,-9.707352638244629,8.095175743103027,0.06535714285714286,0.0057015446946024895,-614.9021606445312,-498.0605163574219,84.77495574951172,169.63536071777344,213.0,30.97242546081543,41.32905960083008,67.6898422241211,14.321600914001465,-20.74907112121582,-4.216090679168701,15.62494945526123
Cont_Chio,Contar,Contar/Cont_Chio.wav,0.07888888888888888,0.01825539395213127,-663.4461059570312,-431.1194763183594,168.1892852783203,146.82264709472656,226.6429443359375,59.73263168334961,-34.05784606933594,-4.536026954650879,27.19256019592285,-48.390933990478516,-11.848592758178711,31.2834415435791,0.07333333333333333,0.13394658267498016,-356.583740234375,-283.5470275878906,27.61846923828125,215.1678924560547,250.3818359375,24.012418746948242,-11.343450546264648,0.023466914892196655,11.916352272033691,-64.28529357910156,-34.38988494873047,16.186119079589844,0.021666666666666667,0.12513962388038635,-348.7070007324219,-258.06524658203125,45.8625602722168,170.85472106933594,191.02845764160156,20.15604019165039,15.152256965637207,35.22199630737305,22.077823638916016,-35.57311248779297,8.89192008972168,17.40473175048828,0.02277777777777778,0.07917598634958267,-434.3559265136719,-261.4276428222656,83.09132385253906,185.67364501953125,209.3827362060547,30.749794006347656,-5.373590469360352,21.26898193359375,18.753673553466797,-8.989627838134766,20.12106704711914,14.169498443603516,0.05805555555555556,0.046641625463962555,-442.4600830078125,-308.19476318359375,96.72240447998047,184.91436767578125,217.934814453125,24.561704635620117,7.909985065460205,41.228355407714844,22.196531295776367,-33.10646057128906,-5.910544395446777,24.880922317504883,0.09416666666666668,0.152247354388237,-287.2376403808594,-198.04844665527344,34.50477600097656,173.9104766845703,193.1160888671875,24.07930564880371,-12.99966049194336,6.22280216217041,13.707433700561523,-42.87059020996094,-14.829315185546875,16.187427520751953,0.09583333333333335,0.1148584708571434,-302.79107666015625,-204.05181884765625,45.00569152832031,175.69635009765625,203.154052734375,34.56161117553711,-7.686726093292236,6.650622844696045,15.277765274047852,-42.73072814941406,-14.322075843811035,17.61190414428711,0.08083333333333334,0.04868769273161888,-371.71063232421875,-352.1994934082031,11.33859634399414,200.69752502441406,214.71572875976562,20.80276107788086,22.132274627685547,34.33818054199219,11.667675971984863,-32.43319320678711,-11.010055541992188,11.495161056518555,0.07388888888888889,0.03937607258558273,-399.7134704589844,-374.7937316894531,17.416301727294922,204.73910522460938,233.13833618164062,27.34014892578125,26.466461181640625,41.954071044921875,13.402463912963867,-27.33417510986328,10.29875373840332,17.440868377685547,0.0475,0.013611027970910072,-506.8127136230469,-390.2480163574219,51.96182632446289,186.3971710205078,227.05978393554688,37.331478118896484,18.31995391845703,30.451732635498047,12.05508804321289,-9.524337768554688,8.258910179138184,11.373939514160156
Cont_Chio2,Contar,Contar/Cont_Chio2.wav,0.05361111111111111,0.027100209146738052,-626.3363037109375,-281.1332702636719,182.80116271972656,139.38368225097656,228.35557556152344,62.321800231933594,-26.253753662109375,27.81893539428711,50.74039840698242,-36.6746826171875,17.644725799560547,48.458438873291016,0.06944444444444445,0.13640367984771729,-347.8896179199219,-256.1826477050781,49.31155776977539,213.5710906982422,259.94610595703125,36.40004348754883,-15.40310001373291,2.301436424255371,13.709959983825684,-49.22126770019531,-28.129302978515625,10.155976295471191,0.042777777777777776,0.09321096539497375,-344.2746887207031,-266.48748779296875,46.30241012573242,173.3406524658203,196.2904815673828,21.9081974029541,23.849136352539062,45.88629913330078,22.84392547607422,-41.87805938720703,-7.13434362411499,14.532337188720703,0.021944444444444444,0.0952392965555191,-408.7819519042969,-259.9821472167969,75.04790496826172,175.85557556152344,207.31045532226562,31.700695037841797,13.637312889099121,32.45134735107422,10.460314750671387,-20.62135124206543,0.6634862422943115,13.079241752624512,0.05222222222222222,0.015706375241279602,-530.2587890625,-301.56732177734375,118.05377960205078,164.74749755859375,211.90908813476562,36.95083999633789,5.8469557762146,39.082855224609375,17.84684181213379,-31.90279197692871,-7.4117560386657715,15.427848815917969,0.09166666666666666,0.13742655515670776,-291.0337829589844,-266.4037170410156,13.17478084564209,170.6412811279297,191.63427734375,25.752784729003906,-1.281930923461914,10.715681076049805,9.781014442443848,-54.141136169433594,-22.167375564575195,16.563888549804688,0.10777777777777778,0.11990948766469955,-307.472900390625,-259.38665771484375,21.702402114868164,185.5072479248047,199.8741912841797,14.027825355529785,0.01421440951526165,13.803657531738281,12.518231391906738,-49.20326614379883,-22.88083267211914,10.955327987670898,0.08305555555555556,0.05370711907744408,-370.1338806152344,-295.1317443847656,48.079471588134766,206.97398376464844,238.1358184814453,30.315105438232422,4.000895977020264,19.40912628173828,16.802698135375977,-33.21024703979492,-16.484390258789062,10.991331100463867,0.06888888888888889,0.05134906992316246,-361.53173828125,-247.299072265625,53.69647979736328,200.83360290527344,236.95758056640625,43.21259307861328,15.791205406188965,36.2227668762207,14.038179397583008,-11.328636169433594,2.0551395416259766,8.180296897888184,0.0044444444444444444,0.004580437671393156,-875.3721313476562,-267.8731689453125,296.5348815917969,15.871585845947266,75.03477478027344,29.74181365966797,-1.325453758239746,0.0,2.5231356620788574,-2.3091015815734863,0.0,4.320389270782471
Cont_Cla,Contar,Contar/Cont_Cla.wav,0.11850000000000001,0.03214527666568756,-575.9752197265625,-255.62779235839844,193.1136932373047,81.57433319091797,176.29098510742188,69.11416625976562,-25.346275329589844,-4.30834436416626,18.51288414001465,-27.13519859313965,6.516138553619385,27.562572479248047,0.0695,0.12871217727661133,-388.767578125,-219.39450073242188,76.91284942626953,144.9510498046875,165.43289184570312,24.794815063476562,-23.34994888305664,-10.75974178314209,6.181110382080078,-62.793907165527344,-24.10141372680664,21.53615951538086,0.05625,0.12680743634700775,-391.3475646972656,-254.96372985839844,67.84993743896484,139.14120483398438,151.47262573242188,14.425806999206543,-20.0118350982666,7.9045209884643555,11.68644905090332,-43.28024673461914,-6.586912155151367,15.559361457824707,0.0375,0.16954389214515686,-437.216796875,-221.4128875732422,88.07862854003906,145.22732543945312,178.47958374023438,19.141008377075195,9.064767837524414,29.62087631225586,7.7208991050720215,-17.073104858398438,3.5401611328125,11.703926086425781,0.03824999999999999,0.024387218058109283,-593.7549438476562,-433.2005920410156,77.66671752929688,188.7203369140625,222.42588806152344,18.941068649291992,-17.46587371826172,28.240013122558594,25.356008529663086,-14.248907089233398,2.7215356826782227,9.440211296081543,0.0765,0.051982056349515915,-484.8860778808594,-244.69891357421875,181.8408203125,121.77181243896484,162.75662231445312,19.860347747802734,7.187987327575684,65.81370544433594,38.91337966918945,-40.2872314453125,11.518122673034668,30.932865142822266,0.12149999999999998,0.09824619442224503,-312.4338073730469,-254.5146942138672,29.281661987304688,128.89305114746094,170.21163940429688,15.049174308776855,32.69467544555664,45.72286605834961,10.010891914367676,-56.6726188659668,-29.456602096557617,14.572970390319824,0.1335,0.07778880000114441,-355.42633056640625,-300.33660888671875,28.340740203857422,150.23495483398438,187.91818237304688,20.83629035949707,41.9396858215332,50.88117980957031,5.215111255645752,-38.621238708496094,9.762999534606934,19.857267379760742,0.08850000000000001,0.0379607118666172,-414.4308166503906,-352.74847412109375,21.5821533203125,166.42738342285156,205.47830200195312,34.19697189331055,86.94770812988281,121.75306701660156,25.947952270507812,-9.980535507202148,14.447944641113281,14.440863609313965,0.189,0.016877422109246254,-466.64215087890625,-333.5223388671875,68.20885467529297,98.99650573730469,136.66702270507812,21.15961456298828,103.95361328125,133.27772521972656,27.447895050048828,-29.492238998413086,-2.0847983360290527,14.890039443969727
Cont_Cla2,Contar,Contar/Cont_Cla2.wav,0.10977272727272727,0.05202684551477432,-547.973876953125,-320.1592102050781,159.13182067871094,104.21121215820312,190.7745361328125,72.7646484375,-39.741939544677734,-10.089434623718262,24.883394241333008,-32.65053176879883,-6.463874816894531,21.47283935546875,0.07181818181818184,0.12399046868085861,-409.3966064453125,-236.9923553466797,70.73490905761719,157.72976684570312,172.45571899414062,15.767328262329102,-29.444053649902344,-4.156556606292725,10.550993919372559,-60.98642349243164,-14.189849853515625,20.90589141845703,0.06136363636363637,0.13863803446292877,-415.5041809082031,-290.4943542480469,56.69871520996094,145.37872314453125,163.5457763671875,14.940224647521973,-21.458364486694336,9.988954544067383,11.488273620605469,-32.80204772949219,-3.7571775913238525,15.00466251373291,0.03659090909090909,0.1577855497598648,-450.8826904296875,-242.0371551513672,80.34830474853516,137.88006591796875,161.573486328125,17.03683853149414,17.931642532348633,25.628921508789062,2.8262805938720703,-19.85434913635254,3.1046504974365234,14.083637237548828,0.05136363636363637,0.02220705896615982,-605.5453491210938,-383.6509094238281,91.30135345458984,162.0841064453125,197.2054901123047,19.271291732788086,-19.661426544189453,25.875452041625977,22.887401580810547,-14.847624778747559,5.188531398773193,11.255552291870117,0.0825,0.04514060541987419,-523.9932861328125,-247.85887145996094,197.78318786621094,112.872802734375,161.64028930664062,24.32503318786621,9.242011070251465,60.61050033569336,33.904850006103516,-43.59211730957031,-9.060698509216309,26.374752044677734,0.11545454545454546,0.10557115077972412,-306.4218444824219,-231.72471618652344,33.82815170288086,120.09379577636719,129.5049285888672,15.899530410766602,19.585779190063477,35.418426513671875,12.956537246704102,-44.52659225463867,7.051163196563721,21.1307430267334,0.12272727272727274,0.07607103139162064,-341.29241943359375,-220.84652709960938,47.834739685058594,123.32733917236328,170.95608520507812,29.562448501586914,34.17905807495117,66.57745361328125,20.386430740356445,-36.276187896728516,18.1591796875,24.918699264526367,0.09613636363636363,0.040825918316841125,-402.1478576660156,-367.2008361816406,19.466297149658203,152.32846069335938,193.62571716308594,29.723833084106445,75.39132690429688,86.68754577636719,9.405875205993652,-18.20231819152832,2.5382509231567383,13.302933692932129,0.12704545454545452,0.013916697353124619,-493.97900390625,-422.9599914550781,40.46318817138672,103.51953125,120.4623031616211,17.098751068115234,112.60132598876953,134.49195861816406,26.029273986816406,-18.76831817626953,7.035323143005371,14.00859260559082
Cont_Crist,Contar,Contar/Cont_Crist.wav,0.12416666666666665,0.003819386474788189,-657.4235229492188,-508.1204833984375,76.02569580078125,118.3847427368164,165.8253173828125,27.139150619506836,42.21331787109375,49.94236755371094,7.425825595855713,-26.81993865966797,-11.44522762298584,10.019673347473145,0.035833333333333335,0.12485092878341675,-386.3111267089844,-243.353515625,66.89409637451172,202.29920959472656,226.03607177734375,27.64529800415039,13.65280818939209,22.86398696899414,7.692025184631348,-55.2501220703125,-16.062820434570312,27.128023147583008,0.03375,0.15867869555950165,-358.111083984375,-237.8542938232422,72.5464859008789,187.3933868408203,228.3717498779297,36.671417236328125,11.23741626739502,26.562938690185547,8.671250343322754,-29.733720779418945,8.15553092956543,25.015228271484375,0.028333333333333335,0.1333378106355667,-403.181396484375,-310.6083984375,62.62004089355469,171.5947265625,195.18807983398438,22.283823013305664,38.786190032958984,48.0765495300293,7.424777507781982,5.733627796173096,17.32400894165039,6.30559778213501,0.02291666666666667,0.04246998950839043,-507.9742736816406,-331.11181640625,102.9813232421875,162.60899353027344,211.76171875,33.50816345214844,42.34846878051758,47.159420013427734,5.025219440460205,20.51304817199707,38.84833526611328,8.690657615661621,0.029583333333333333,0.02891494892537594,-488.7373962402344,-292.6754455566406,113.45011901855469,138.3098602294922,166.68801879882812,15.299604415893555,35.13737106323242,53.58128356933594,12.779757499694824,-8.982473373413086,40.720298767089844,41.950565338134766,0.07333333333333332,0.10849379748106003,-296.9296875,-266.2679443359375,25.508907318115234,165.3240203857422,184.6492462158203,18.749889373779297,12.950440406799316,24.692138671875,9.926941871643066,-57.212337493896484,-13.932796478271484,27.714759826660156,0.06916666666666667,0.06930907070636749,-344.2601318359375,-275.7059631347656,40.2599983215332,186.76219177246094,218.13482666015625,32.94252395629883,12.420154571533203,29.334049224853516,15.498509407043457,-27.8480167388916,-4.312257766723633,14.860528945922852,0.03125,0.030731074512004852,-466.668212890625,-388.87310791015625,62.978187561035156,174.7118682861328,217.65725708007812,34.14866256713867,42.422203063964844,64.74092864990234,16.644847869873047,-19.961294174194336,12.095785140991211,15.945838928222656,0.03125,0.0057303118519485,-580.3817749023438,-504.72845458984375,43.82289123535156,108.75399780273438,135.2017822265625,13.388884544372559,66.39485931396484,104.59663391113281,27.651824951171875,0.8161535263061523,17.971981048583984,13.923506736755371
Cont_Est,Contar,Contar/Cont_Est.wav,0.13527777777777777,0.03044033795595169,-555.7705078125,-245.08250427246094,208.61859130859375,99.47624969482422,171.92279052734375,65.61042785644531,-20.313692092895508,10.213289260864258,22.853160858154297,-41.85523223876953,8.277819633483887,37.26665115356445,0.0825,0.19471509754657745,-265.2565002441406,-217.51881408691406,20.842355728149414,120.86591339111328,136.33224487304688,9.52754020690918,-15.70940113067627,-3.5907742977142334,7.5749287605285645,-102.12272644042969,-41.94302749633789,28.622365951538086,0.06333333333333332,0.06251684576272964,-368.5202941894531,-284.62890625,47.26460647583008,143.1069793701172,153.81253051757812,10.896693229675293,-13.948119163513184,-6.140280723571777,6.713942050933838,-81.86737823486328,-31.056371688842773,23.302499771118164,0.04638888888888889,0.03687162697315216,-459.0208740234375,-334.1182556152344,59.84745788574219,145.2769775390625,163.93423461914062,16.87653160095215,-21.223543167114258,-8.032028198242188,9.407281875610352,-56.02191162109375,-14.40703010559082,21.00754737854004,0.06472222222222224,0.027313973754644394,-486.1239013671875,-227.689697265625,112.22631072998047,138.92816162109375,163.2239990234375,24.42662239074707,-23.794885635375977,29.552824020385742,24.594192504882812,-51.875911712646484,-23.76570701599121,14.323070526123047,0.0863888888888889,0.14006662368774414,-262.8414611816406,-213.5944061279297,22.537927627563477,114.45845794677734,148.93838500976562,17.001462936401367,11.847724914550781,26.768497467041016,18.642847061157227,-75.40143585205078,-37.036033630371094,17.36495590209961,0.09527777777777777,0.11697755753993988,-292.1556396484375,-245.26976013183594,23.28818130493164,124.367431640625,147.54718017578125,9.794903755187988,7.604772567749023,19.836801528930664,6.068977355957031,-73.608642578125,-47.21348190307617,12.133734703063965,0.08527777777777779,0.07124000042676926,-366.1991882324219,-281.1506042480469,57.9116096496582,136.6009979248047,161.94728088378906,20.09453582763672,0.41222402453422546,17.142499923706055,12.51883316040039,-56.63361358642578,-32.17501449584961,17.025894165039062,0.08166666666666667,0.021050529554486275,-446.6907958984375,-386.9242858886719,24.227153778076172,158.16537475585938,171.5977020263672,17.280452728271484,19.972070693969727,41.84456253051758,16.827030181884766,-50.78567886352539,-15.448328018188477,16.00377082824707,0.06472222222222222,0.010435257107019424,-521.7308349609375,-396.16204833984375,61.77994918823242,147.82273864746094,172.06430053710938,20.619054794311523,11.699566841125488,27.931005477905273,13.674299240112305,-20.119556427001953,9.212072372436523,15.830167770385742
Cont_Javi,Contar,Contar/Cont_Javi.wav,0.04833333333333333,0.00620485981926322,-578.1040649414062,-359.2125244140625,114.31580352783203,141.3773956298828,169.22705078125,19.416879653930664,16.0117244720459,46.194847106933594,21.17742347717285,-13.336007118225098,6.4115777015686035,12.029119491577148,0.05541666666666666,0.07850618660449982,-331.36102294921875,-168.08126831054688,89.78617095947266,150.53836059570312,196.15948486328125,32.47962188720703,3.741175413131714,46.19355010986328,26.56326675415039,-36.47188949584961,-21.058053970336914,13.036029815673828,0.052083333333333336,0.23574723303318024,-252.19200134277344,-167.84939575195312,53.78567123413086,159.7732391357422,219.57986450195312,47.03474807739258,1.3583265542984009,24.440731048583984,14.5449800491333,-39.27882766723633,-12.665714263916016,17.87529182434082,0.05708333333333334,0.07396659255027771,-342.0838928222656,-226.36341857910156,68.06309509277344,185.88194274902344,228.9481658935547,44.95156478881836,-0.46245160698890686,20.479976654052734,15.532968521118164,-6.501867771148682,16.396963119506836,14.06234359741211,0.04583333333333334,0.03472374379634857,-465.3165283203125,-388.8551940917969,48.44147872924805,217.2370147705078,255.92739868164062,34.354793548583984,12.756869316101074,28.13846778869629,13.7510347366333,-4.718835830688477,15.876498222351074,13.178009033203125,0.04583333333333334,0.013073093257844448,-576.7255859375,-514.8430786132812,35.09588623046875,195.7764892578125,212.78599548339844,20.861696243286133,15.05517864227295,27.15645980834961,5.919665336608887,-14.210323333740234,2.738701820373535,12.020023345947266,0.07166666666666667,0.07177312672138214,-371.2638854980469,-228.79393005371094,100.30728912353516,153.44569396972656,210.98678588867188,40.727237701416016,16.963911056518555,42.42420959472656,16.779983520507812,-1.2139698266983032,19.963394165039062,14.321391105651855,0.07166666666666667,0.06541364639997482,-312.1954040527344,-251.92376708984375,37.060752868652344,161.1136016845703,211.98013305664062,40.36686325073242,5.540182590484619,22.68747329711914,12.741132736206055,-19.29197883605957,-3.1423206329345703,13.43613338470459,0.07541666666666666,0.034166235476732254,-426.4089660644531,-338.9389343261719,65.0358657836914,182.34117126464844,217.65975952148438,36.03065490722656,7.519567012786865,32.20953369140625,16.597566604614258,-8.892570495605469,5.152090072631836,8.035721778869629,0.06166666666666667,0.012732278555631638,-525.5599975585938,-480.1608581542969,30.903465270996094,206.9533233642578,236.04486083984375,24.202987670898438,17.15287971496582,30.052814483642578,9.85580062866211,1.5295146703720093,16.767288208007812,10.129663467407227
